GSE1011,Chronic Rosiglitazone Mouse Aorta,15054141,2
GSE10290,Gene expression analyses of PR action in the mammary gland of ovariectomized mice,18687774,2
GSE10392,Gene regulation profile of Medroxyprogesterone acetate (MPA)-treated late pregnant cervix,18313454,2
GSE1083,Alterations in gene expression in FVB/NJ mouse liver following 4-nonylphenol (4-NP) treatment for 32 weeks,16013040,2
GSE10849,Caveolin-1 Knockout Hearts,18719368,2
GSE11796,ligand-activated and -unactivated AHR in wiltype and mutant hepatoma cells,19654925,2
GSE11805,"PPARdelta ligand GW1516, AMPK agonist AICAR, and exercise training",18674809,2
GSE12147,Molecular characterization of novel peroxisome proliferator-activated receptor alpha agonists,18971326,2
GSE12929,PPARg dependent expression changes during differentiation of 3T3L1 cell into adipocytes,19300518,2
GSE13211,Global gene-expression analyses of the Esrrb reprogrammed cells,19136965,2
GSE13212,Global gene-expression analyses of the Esrrb knockdown cells,19136965,2
GSE13388,Testosterone-induced persistent dysregulations and transdifferentiation to exocrine pancreas in the female liver,20600201,2
GSE13432,Adipose tissue exposed to cold,19117550,2
GSE13583,Expression data from liver of the KRAP deficient mice ,19156225,2
GSE14406,Oligodendroglial precursor cell line [Oli-neu] undergoing differentiation into myelin basic protein-producing cells,19139271,2
GSE1458,"Pioglitazone, rosiglitazone and troglitazone treatment",15217816,2
GSE14810,Microarray data from murine C3H/10T1/2 and 3T3 L1 adipocytes,22013433,2
GSE15003,Effect of Rac1 haploinsufficiency on the gene expression profile of mouse endothelial cells,19278959,2
GSE1506,A404 Smooth Muscle Cell Differentiation,15340120,2
GSE1588,27_RA_RMA_Jan04_time_course,15466718,2
GSE16486,Gene expression data from gastrocnemius muscle (m.Gas) in young adult mice,20403060,2
GSE16777,Discrimination of Tumorigenic Triazole Conazoles from Phenobarbital by Transcriptional Analyses of Mouse Liver,19363144,2
GSE17553,Estradiol or Testosterone treated efferent duct and caput epididymis,19553595,2
GSE17649,Expression data from mouse liver after Acetaminophen intoxication,19923254,2
GSE17863,mRNA profiling reveals divergent roles of PPARa and PPARß/d in regulating mouse liver gene expression (PPARa samples),19805517,2
GSE17864,mRNA profiling reveals divergent roles of PPARa and PPARß/d in regulating mouse liver gene expression (PPARb/d samples),20009009,2
GSE17890,WT vs. PPARd-/- Macrophages,19838202,2
GSE18135,Gene Expression Profile of Androgen Modulated Genes in the Murine Fetal Developing Lung,20064212,2
GSE1826,Dexamethasone treatment of gut cells,15826934,2
GSE1839,"Equivalence of biologic responses induced in the mouse uterus by E2, GEN, and DES",15289156,2
GSE19021,Global gene expression analyses of the Nr5a2 reprogrammed cells,20096661,2
GSE19042,Synergistic Action of LIF and Glucocorticoids on pituitary corticotrophs cell line (AtT-20),18927629,2
GSE20165,Expression data from white and brown adipose tissue (WAT and BAT) of per2-/- and control mice,21035761,2
GSE20599,"Gene expression analysis of FXR null, SHP null, and double FXR/SHP null mice",21123943,2
GSE20696,Expression profiling of 3T3-L1 adipogenesis,20887899,2
GSE21087,Gene Expression Profiling of the Calvaria from Conditional Hdac3 Defecient and Wild-type Mice,20628553,2
GSE21307,Characterization of Directly Regulated Thyroid Hormone Mediated Gene Expression Following Short-Term Perturbations in Thyroid Hormone Levels in Juvenile Mice,22206413,2
GSE21346,Differential regulation of microRNA in ocular wound healing,,2
GSE2195,Phenotypic Anchoring of Gene Expression Changes during Estrogen-Induced Uterine Growth,15598610,2
GSE22471,Transcriptional Mediator Subunit MED1/TRAP220 in Stromal Cells Is Involved in Hematopoietic Stem/Progenitor Cell Support through Osteopontin Expression,20713445,2
GSE22693,Regulation of gene expression program by Fsp27 in white and brown adipose tissue,"20649970,26484280",2
